Cirurgia (c);Sala (r);Dia (d);Horário (t)
1;2;1;1
2;4;1;11
3;1;1;35
4;7;1;16
5;1;1;1
6;3;1;9
7;3;5;7
8;7;4;1
9;1;2;24
10;4;4;31
11;6;1;36
12;7;1;26
13;2;4;1
14;3;4;1
15;1;1;18
16;5;3;15
17;5;3;24
18;3;3;1
19;2;2;28
20;1;2;1
21;6;1;22
22;3;2;18
23;5;2;17
24;4;5;1
25;1;3;32
26;3;5;1
27;6;4;12
28;4;4;1
29;5;4;1
30;6;3;13
31;5;5;1
32;3;2;7
33;5;1;11
34;5;3;1
35;6;3;30
36;4;4;17
37;6;3;21
38;7;2;38
39;2;3;16
40;7;5;22
41;1;5;20
42;5;1;23
43;5;3;33
44;6;3;1
45;1;5;33
46;4;5;12
47;6;1;1
48;4;2;14
49;4;2;1
50;5;4;10
51;2;2;17
52;3;2;38
53;5;1;1
54;7;3;24
55;4;2;26
56;1;4;1
57;3;2;31
58;4;3;12
59;5;2;9
60;3;1;16
61;1;4;15
62;1;3;1
63;3;4;17
64;1;5;13
65;1;2;7
66;1;5;1
67;4;1;1
68;2;1;9
69;4;2;36
70;5;2;1
71;6;4;29
72;2;3;1
73;7;3;13
74;1;3;16
75;6;5;20
76;2;5;13
77;1;1;8
78;6;2;28
79;2;2;1
80;6;1;9
