Cirurgia (c);Sala (r);Dia (d);Horário (t)
1;3;3;1
2;2;4;1
3;2;1;1
4;1;2;34
5;1;6;17
6;1;1;27
7;2;5;21
8;1;4;1
9;1;5;15
10;2;5;12
11;3;1;33
12;2;2;11
13;3;7;1
14;1;1;1
15;2;7;1
16;3;7;17
17;1;4;37
18;2;2;25
19;3;1;40
20;3;2;1
21;3;6;24
22;1;1;12
23;1;7;19
24;2;6;1
25;1;6;34
26;3;5;12
27;1;1;19
28;1;4;17
29;3;2;35
30;1;6;1
31;3;2;20
32;2;3;1
33;2;8;18
34;1;9;1
35;1;3;1
36;3;9;1
37;1;5;1
38;3;4;1
39;2;4;34
40;2;9;1
41;1;5;30
42;1;2;1
43;2;1;21
44;2;7;16
45;1;7;1
46;3;7;36
47;2;3;29
48;3;9;15
49;2;6;12
50;3;8;20
51;2;8;1
52;1;8;1
53;1;3;34
54;3;1;1
55;1;2;16
56;2;2;33
57;3;3;37
58;2;5;1
59;1;8;21
60;2;6;24
61;3;3;21
62;2;2;1
63;1;3;15
64;1;7;31
65;3;8;1
66;3;4;22
67;2;4;17
68;3;1;22
69;2;3;16
70;3;5;27
