Cirurgia (c);Sala (r);Dia (d);Horário (t)
1;1;1;1
2;10;1;35
3;11;2;36
4;9;1;38
5;1;1;13
6;5;2;1
7;14;2;27
8;13;4;13
9;11;2;1
10;3;1;11
11;7;1;29
12;14;1;1
13;3;4;12
14;11;1;1
15;9;3;34
16;7;2;20
17;13;4;27
18;5;4;8
19;6;1;1
20;4;2;31
21;2;2;24
22;11;3;22
23;4;3;22
24;10;3;17
25;12;3;32
26;1;5;1
27;13;3;44
28;1;3;36
29;9;3;25
30;7;2;30
31;14;4;1
32;2;3;1
33;15;4;18
34;6;3;14
35;9;4;26
36;1;1;38
37;1;3;17
38;7;1;1
39;13;2;1
40;4;2;1
41;2;4;29
42;4;2;23
43;3;2;1
44;6;1;19
45;2;1;32
46;3;4;30
47;9;2;10
48;15;3;16
49;9;2;21
50;3;3;1
51;2;5;9
52;12;2;1
53;2;3;17
54;12;4;16
55;6;3;30
56;11;2;24
57;5;3;1
58;11;2;8
59;11;1;39
60;4;1;1
61;2;1;1
62;2;5;1
63;1;1;23
64;8;1;40
65;15;2;8
66;4;4;1
67;4;4;23
68;6;2;14
69;5;2;7
70;5;1;27
71;13;2;15
72;1;4;15
73;8;4;26
74;10;2;12
75;1;6;1
76;12;2;11
77;4;3;1
78;1;2;31
79;6;3;1
80;8;4;1
81;4;3;8
82;8;1;1
83;4;5;1
84;1;2;17
85;6;4;1
86;13;1;35
87;15;1;38
88;7;3;27
89;8;3;1
90;2;4;13
91;12;3;1
92;3;2;8
93;5;3;25
94;10;4;20
95;12;4;1
96;14;1;31
97;7;2;8
98;15;3;1
99;8;2;36
100;8;2;24
101;10;1;16
102;10;3;8
103;14;3;15
104;7;2;1
105;15;2;25
106;1;3;27
107;3;4;1
108;10;1;1
109;2;2;1
110;7;4;45
111;12;4;31
112;8;3;14
113;3;1;1
114;11;1;8
115;5;5;1
116;11;1;32
117;6;1;29
118;3;2;33
119;14;3;29
120;3;1;40
121;2;4;38
122;13;1;13
123;3;2;25
124;8;2;8
125;12;3;16
126;5;4;1
127;5;2;16
128;9;2;1
129;2;3;31
130;4;1;23
131;14;3;1
132;3;4;20
133;7;3;19
134;10;2;1
135;10;3;1
136;5;3;17
137;3;1;27
138;9;1;13
139;5;1;1
140;5;1;39
141;4;1;37
142;3;3;15
143;2;2;17
144;10;2;29
145;4;3;34
146;14;1;20
147;13;4;1
148;6;4;34
149;14;4;17
150;14;1;12
151;3;3;28
152;8;5;12
153;10;3;26
154;9;2;37
155;2;1;20
156;7;3;11
157;11;3;38
158;3;5;9
159;3;4;41
160;8;1;23
161;6;4;17
162;1;3;1
163;5;1;11
164;15;2;36
165;7;1;40
166;2;1;13
167;1;4;31
168;5;4;33
169;12;2;37
170;6;2;1
171;4;2;11
172;7;5;1
173;5;2;32
174;10;3;39
175;6;2;28
176;14;2;17
177;8;3;28
178;12;1;40
179;9;4;12
180;6;4;9
181;2;3;41
182;8;4;12
183;11;4;26
184;4;1;12
185;6;1;8
186;7;1;13
187;9;1;22
188;12;2;22
189;2;4;1
190;1;4;1
191;7;3;1
192;5;4;18
193;11;1;19
194;6;5;25
195;13;1;27
196;8;1;12
197;10;4;36
198;10;1;26
199;1;2;1
200;4;4;10
