Cirurgia (c);Sala (r);Dia (d);Horário (t)
1;3;1;1
2;2;2;19
3;2;2;24
4;8;3;21
5;6;2;1
6;4;2;23
7;8;2;1
8;5;1;14
9;6;1;30
10;3;2;1
11;1;1;1
12;3;2;21
13;8;1;18
14;1;4;1
15;3;1;34
16;7;5;34
17;8;5;1
18;8;3;1
19;3;6;1
20;4;3;19
21;1;1;20
22;7;2;24
23;4;3;1
24;1;3;38
25;7;4;19
26;8;1;1
27;2;4;20
28;6;6;35
29;4;6;1
30;7;3;13
31;1;4;1
32;5;3;1
33;1;2;1
34;3;4;1
35;3;3;1
36;6;1;15
37;4;5;1
38;8;5;16
39;6;4;13
40;4;1;1
41;2;4;1
42;8;3;33
43;7;2;1
44;5;5;18
45;6;5;23
46;4;2;1
47;7;1;1
48;3;1;17
49;1;6;1
50;4;6;20
51;1;3;20
52;7;3;1
53;8;4;21
54;5;6;1
55;3;3;20
56;1;3;1
57;5;2;34
58;1;5;31
59;1;5;1
60;2;2;1
61;5;1;1
62;5;5;1
63;2;6;1
64;4;4;22
65;3;2;34
66;8;2;20
67;5;6;24
68;6;2;22
69;8;4;1
70;7;4;1
71;3;2;1
72;2;3;19
73;1;4;19
74;4;5;21
75;2;5;1
76;2;2;1
77;2;3;1
78;4;4;1
79;3;5;1
80;6;3;17
81;7;1;35
82;4;1;34
83;6;5;1
84;5;3;21
85;2;5;17
86;4;1;15
87;5;4;1
88;2;1;1
89;3;5;15
90;2;1;24
91;6;3;1
92;6;4;27
93;1;2;1
94;1;5;13
95;7;1;19
96;5;4;17
97;3;4;13
98;5;1;36
99;1;6;19
100;1;2;21
