Cirurgia (c);Sala (r);Dia (d);Horário (t)
1;1;2;24
2;4;2;24
3;3;1;34
4;2;1;1
5;2;1;27
6;1;1;1
7;2;2;20
8;5;1;18
9;5;1;1
10;4;2;35
11;1;1;8
12;4;1;10
13;5;1;34
14;2;2;1
15;3;1;4
16;3;3;27
17;4;4;24
18;2;2;7
19;3;3;33
20;1;2;4
21;3;4;24
22;1;1;27
23;1;6;1
24;5;5;19
25;2;3;5
26;1;5;23
27;2;5;20
28;1;4;1
29;1;5;13
30;2;1;37
31;6;4;15
32;4;3;42
33;1;3;5
34;3;2;26
35;3;1;24
36;4;4;18
37;1;2;32
38;6;5;23
39;5;4;41
40;5;2;28
41;2;2;31
42;5;2;41
43;5;3;33
44;5;3;37
45;4;2;1
46;2;5;37
47;6;4;22
48;6;1;38
49;5;2;37
50;3;4;11
51;6;4;1
52;4;5;1
53;1;1;33
54;4;4;1
55;6;1;10
56;4;5;19
57;4;1;16
58;4;1;27
59;1;5;1
60;1;3;13
61;5;3;23
62;3;4;38
63;6;4;4
64;4;1;1
65;1;1;19
66;3;3;16
67;6;2;17
68;1;3;1
69;6;3;33
70;2;5;13
71;3;1;44
72;3;3;1
73;3;2;17
74;2;1;20
75;6;2;29
76;1;5;38
77;3;5;1
78;5;3;16
79;3;1;16
80;6;4;29
81;4;2;9
82;2;4;10
83;1;3;25
84;4;3;13
85;3;1;20
86;2;2;43
87;6;1;27
88;3;2;4
89;1;2;9
90;3;4;1
91;4;3;38
92;4;3;27
93;3;1;1
94;1;1;39
95;1;2;1
96;4;4;41
97;2;4;29
98;4;4;10
99;4;3;1
100;5;2;24
