Cirurgia (c);Sala (r);Dia (d);Horário (t)
1;1;1;1
2;2;1;1
3;1;1;11
4;2;1;38
5;1;2;20
6;1;1;30
7;2;1;28
8;1;4;11
9;1;4;30
10;2;2;9
11;2;4;11
12;1;4;41
13;1;1;42
14;2;1;13
15;2;3;37
16;2;4;26
17;1;2;37
18;2;1;17
19;1;3;35
20;1;5;9
21;1;4;1
22;1;3;31
23;1;1;22
24;2;4;21
25;1;6;14
26;1;3;1
27;2;3;41
28;1;7;1
29;1;3;19
30;1;6;1
31;2;3;25
32;2;2;26
33;1;2;9
34;2;5;34
35;2;3;5
36;1;3;25
37;2;4;32
38;1;3;10
39;2;5;28
40;2;2;21
41;1;5;22
42;1;2;30
43;1;2;1
44;2;5;9
45;2;3;20
46;1;6;24
47;2;6;14
48;2;3;1
49;2;2;30
50;1;5;1
