Cirurgia (c);Sala (r);Dia (d);Horário (t)
1;3;4;1
2;3;6;1
3;1;1;19
4;1;4;19
5;3;5;1
6;7;3;13
7;4;1;9
8;5;2;35
9;4;2;1
10;5;5;22
11;2;3;1
12;2;1;26
13;1;2;22
14;3;5;12
15;5;4;25
16;6;5;1
17;2;2;1
18;1;3;32
19;6;3;14
20;1;2;1
21;1;3;21
22;6;5;20
23;6;2;12
24;6;4;1
25;5;1;1
26;2;2;38
27;3;1;13
28;5;3;29
29;4;4;16
30;1;1;1
31;5;4;1
32;2;5;1
33;7;2;14
34;4;5;1
35;6;1;37
36;4;4;34
37;3;3;1
38;1;3;1
39;2;1;18
40;2;4;18
41;4;2;15
42;5;1;38
43;2;2;16
44;4;4;1
45;7;1;17
46;6;2;33
47;5;5;1
48;1;1;27
49;6;3;1
50;3;2;22
51;5;2;22
52;6;4;13
53;7;3;1
54;4;3;1
55;5;4;15
56;4;1;1
57;2;5;21
58;2;1;1
59;3;2;1
60;1;2;12
61;7;2;1
62;2;6;1
63;6;3;33
64;4;2;25
65;1;5;1
66;3;3;19
67;5;1;21
68;1;4;1
69;6;2;1
70;1;6;1
71;1;7;1
72;6;1;22
73;6;1;1
74;7;4;44
75;2;4;1
76;6;4;34
77;7;3;35
78;5;3;1
79;2;3;19
80;7;1;1
81;5;3;15
82;2;1;34
83;7;1;33
84;4;1;30
85;4;3;22
86;1;2;1
87;1;4;1
88;3;1;27
89;3;1;1
90;2;2;28
