Cirurgia (c);Sala (r);Dia (d);Horário (t)
1;1;2;39
2;3;2;24
3;2;1;16
4;3;3;14
5;2;3;18
6;2;2;33
7;2;1;33
8;3;3;1
9;1;1;1
10;1;2;14
11;4;5;29
12;2;6;1
13;4;3;18
14;4;3;1
15;2;6;22
16;1;2;1
17;1;1;41
18;2;5;1
19;2;1;23
20;2;1;40
21;3;5;21
22;2;3;34
23;1;2;17
24;2;4;12
25;4;1;15
26;2;4;1
27;1;6;1
28;1;2;30
29;1;7;22
30;3;6;22
31;4;4;1
32;2;7;16
33;4;2;39
34;3;2;12
35;1;4;33
36;1;2;1
37;1;3;21
38;1;4;1
39;2;2;1
40;1;1;34
41;3;3;35
42;2;2;11
43;1;6;19
44;3;6;1
45;2;3;1
46;3;2;1
47;1;6;8
48;1;5;29
49;3;4;35
50;1;5;21
51;2;7;1
52;3;4;21
53;3;5;1
54;3;1;13
55;1;5;1
56;1;7;1
57;2;5;11
58;4;6;1
59;4;1;30
60;1;3;1
61;1;4;14
62;3;1;40
63;3;4;1
64;2;1;1
65;1;4;1
66;3;1;22
67;4;1;1
68;2;5;26
69;4;4;22
70;1;1;13
