Cirurgia (c);Sala (r);Dia (d);Horário (t)
1;6;1;11
2;2;1;39
3;4;1;13
4;1;1;1
5;6;1;36
6;6;1;1
7;5;1;17
8;1;1;7
9;3;1;25
10;2;4;32
11;2;2;19
12;5;3;1
13;1;2;41
14;3;2;14
15;3;1;14
16;3;3;1
17;2;2;31
18;2;1;25
19;3;2;1
20;2;1;1
21;1;1;20
22;1;3;14
23;2;2;1
24;5;1;1
25;6;3;1
26;4;2;1
27;4;2;37
28;1;3;1
29;4;3;30
30;1;2;1
31;4;1;1
32;6;1;21
33;1;3;39
34;2;4;15
35;3;1;1
36;1;4;13
37;2;3;8
38;6;2;19
39;1;2;30
40;1;2;8
41;1;4;1
42;5;3;15
43;4;2;7
44;4;2;19
45;6;2;35
46;1;2;22
47;5;1;33
48;3;3;17
49;2;2;10
50;4;1;30
51;1;1;35
52;2;1;8
53;4;2;27
54;5;2;23
55;1;3;30
56;5;3;31
57;5;2;7
58;2;3;1
59;3;1;35
60;2;4;1
