Cirurgia (c);Sala (r);Dia (d);Horário (t)
1;8;1;25
2;9;1;28
3;6;3;18
4;3;1;1
5;1;1;1
6;1;2;39
7;4;2;1
8;5;3;1
9;8;2;12
10;5;1;35
11;5;2;37
12;8;1;1
13;3;2;23
14;8;2;1
15;9;2;17
16;3;3;14
17;4;1;8
18;2;1;23
19;8;1;10
20;4;1;20
21;6;3;11
22;1;1;29
23;5;1;19
24;4;5;17
25;3;2;41
26;7;1;12
27;1;6;1
28;5;1;1
29;4;2;23
30;7;2;9
31;5;4;17
32;4;5;31
33;4;4;1
34;6;3;34
35;1;2;15
36;6;4;26
37;7;3;41
38;2;5;1
39;2;3;1
40;9;3;29
41;1;5;15
42;7;3;30
43;10;4;32
44;1;7;1
45;8;5;20
46;9;5;30
47;1;3;29
48;7;4;17
49;8;3;27
50;7;2;21
51;2;3;11
52;5;2;16
53;2;3;20
54;1;4;17
55;8;3;1
56;1;4;1
57;4;3;1
58;6;4;35
59;10;1;30
60;9;4;1
61;1;2;1
62;8;5;1
63;2;1;1
64;8;1;34
65;1;5;1
66;8;4;1
67;6;4;14
68;2;2;23
69;5;2;1
70;7;2;30
71;4;2;35
72;2;2;16
73;2;5;14
74;7;4;1
75;2;4;1
76;3;3;1
77;10;2;39
78;3;4;22
79;1;3;39
80;3;5;17
81;4;4;28
82;2;6;1
83;8;3;12
84;4;5;1
85;6;3;1
86;1;1;41
87;7;4;35
88;3;3;29
89;10;3;27
90;7;1;33
91;2;2;31
92;8;5;7
93;9;2;1
94;3;2;34
95;2;3;35
96;9;2;41
97;2;4;34
98;3;5;1
99;1;1;16
100;2;6;16
101;7;1;19
102;2;1;10
103;9;1;16
104;7;4;28
105;9;1;8
106;4;4;14
107;4;2;16
108;2;4;17
109;8;2;23
110;7;5;1
111;1;1;8
112;9;3;1
113;6;1;39
114;3;4;13
115;6;1;1
116;9;1;1
117;10;5;16
118;5;2;24
119;2;5;21
120;6;1;13
121;9;1;36
122;6;5;1
123;3;1;28
124;8;4;16
125;2;2;1
126;1;2;31
127;9;4;17
128;5;5;24
129;6;2;34
130;10;1;20
131;1;3;17
132;3;3;21
133;4;3;28
134;5;1;10
135;4;1;37
136;5;3;9
137;2;1;38
138;3;6;1
139;9;2;34
140;3;1;12
141;7;3;13
142;7;2;1
143;5;5;38
144;9;3;11
145;3;4;1
146;5;4;27
147;1;3;1
148;6;1;28
149;9;3;18
150;4;3;13
